method_id,trajectory_id,checkpoint,strict_occurred_event_evidence_f1,exact_pair_set_match,correct,predicted_pair_count,gold_pair_count,true_positive_pair_count,parse_error
fc_openrouter_llama_4_maverick,traj_001,15,0.6666666666666666,0.0,0,2,1,1,0
fc_openrouter_llama_4_maverick,traj_001,30,0.6666666666666666,0.0,0,1,2,1,0
fc_openrouter_llama_4_maverick,traj_001,45,0.5,0.0,0,1,3,1,0
fc_openrouter_llama_4_maverick,traj_001,60,0.28571428571428575,0.0,0,3,4,1,0
fc_openrouter_llama_4_maverick,traj_001,75,0.28571428571428575,0.0,0,2,5,1,0
fc_openrouter_llama_4_maverick,traj_001,90,0.2,0.0,0,4,6,1,0
fc_openrouter_llama_4_maverick,traj_001,105,0.3333333333333333,0.0,0,5,7,2,0
fc_openrouter_llama_4_maverick,traj_001,120,0.5,0.0,0,4,8,3,0
fc_openrouter_llama_4_maverick,traj_001,135,0.42857142857142855,0.0,0,5,9,3,0
fc_openrouter_llama_4_maverick,traj_001,150,0.28571428571428575,0.0,0,4,10,2,0
fc_openrouter_llama_4_maverick,traj_001,165,0.3529411764705882,0.0,0,6,11,3,0
fc_openrouter_llama_4_maverick,traj_001,180,0.15384615384615385,0.0,0,1,12,1,0
fc_openrouter_llama_4_maverick,traj_001,195,0.14285714285714288,0.0,0,1,13,1,0
fc_openrouter_llama_4_maverick,traj_001,210,0.19047619047619047,0.0,0,7,14,2,0
fc_openrouter_llama_4_maverick,traj_001,225,0.125,0.0,0,1,15,1,0
fc_openrouter_llama_4_maverick,traj_001,240,0.3076923076923077,0.0,0,10,16,4,0
fc_openrouter_llama_4_maverick,traj_001,255,0.31999999999999995,0.0,0,8,17,4,0
fc_openrouter_llama_4_maverick,traj_001,270,0.23076923076923078,0.0,0,8,18,3,0
fc_openrouter_llama_4_maverick,traj_001,285,0.23076923076923078,0.0,0,7,19,3,0
fc_openrouter_llama_4_maverick,traj_001,300,0.09523809523809523,0.0,0,1,20,1,0
fc_openrouter_llama_4_maverick,traj_002,15,1.0,1.0,1,1,1,1,0
fc_openrouter_llama_4_maverick,traj_002,30,0.4444444444444445,0.0,0,7,2,2,0
fc_openrouter_llama_4_maverick,traj_002,45,0.0,0.0,0,0,3,0,0
fc_openrouter_llama_4_maverick,traj_002,60,0.6,0.0,0,6,4,3,0
fc_openrouter_llama_4_maverick,traj_002,75,0.7499999999999999,0.0,0,3,5,3,0
fc_openrouter_llama_4_maverick,traj_002,90,0.5,0.0,0,6,6,3,0
fc_openrouter_llama_4_maverick,traj_002,105,0.5,0.0,0,5,7,3,0
fc_openrouter_llama_4_maverick,traj_002,120,0.6153846153846154,0.0,0,5,8,4,0
fc_openrouter_llama_4_maverick,traj_002,135,0.5,0.0,0,3,9,3,0
fc_openrouter_llama_4_maverick,traj_002,150,0.5714285714285715,0.0,0,4,10,4,0
fc_openrouter_llama_4_maverick,traj_002,165,0.0,0.0,0,0,11,0,0
fc_openrouter_llama_4_maverick,traj_002,180,0.375,0.0,0,4,12,3,0
fc_openrouter_llama_4_maverick,traj_002,195,0.0,0.0,0,0,13,0,0
fc_openrouter_llama_4_maverick,traj_002,210,0.4210526315789473,0.0,0,5,14,4,0
fc_openrouter_llama_4_maverick,traj_002,225,0.125,0.0,0,1,15,1,0
fc_openrouter_llama_4_maverick,traj_002,240,0.5833333333333334,0.0,0,8,16,7,0
fc_openrouter_llama_4_maverick,traj_002,255,0.1111111111111111,0.0,0,1,17,1,0
fc_openrouter_llama_4_maverick,traj_002,270,0.4347826086956522,0.0,0,5,18,5,0
fc_openrouter_llama_4_maverick,traj_002,285,0.2608695652173913,0.0,0,4,19,3,0
fc_openrouter_llama_4_maverick,traj_002,300,0.30769230769230765,0.0,0,6,20,4,0
fc_openrouter_llama_4_maverick,traj_003,15,1.0,1.0,1,1,1,1,0
fc_openrouter_llama_4_maverick,traj_003,30,1.0,1.0,1,2,2,2,0
fc_openrouter_llama_4_maverick,traj_003,45,0.6666666666666666,0.0,0,3,3,2,0
fc_openrouter_llama_4_maverick,traj_003,60,0.5,0.0,0,4,4,2,0
fc_openrouter_llama_4_maverick,traj_003,75,0.6153846153846154,0.0,0,8,5,4,0
fc_openrouter_llama_4_maverick,traj_003,90,0.5454545454545454,0.0,0,5,6,3,0
fc_openrouter_llama_4_maverick,traj_003,105,0.7999999999999999,0.0,0,8,7,6,0
fc_openrouter_llama_4_maverick,traj_003,120,0.2222222222222222,0.0,0,1,8,1,0
fc_openrouter_llama_4_maverick,traj_003,135,0.6250000000000001,0.0,0,7,9,5,0
fc_openrouter_llama_4_maverick,traj_003,150,0.5263157894736842,0.0,0,9,10,5,0
fc_openrouter_llama_4_maverick,traj_003,165,0.16666666666666669,0.0,0,1,11,1,0
fc_openrouter_llama_4_maverick,traj_003,180,0.15384615384615385,0.0,0,1,12,1,0
fc_openrouter_llama_4_maverick,traj_003,195,0.3157894736842105,0.0,0,6,13,3,0
fc_openrouter_llama_4_maverick,traj_003,210,0.5217391304347826,0.0,0,9,14,6,0
fc_openrouter_llama_4_maverick,traj_003,225,0.43478260869565216,0.0,0,8,15,5,0
fc_openrouter_llama_4_maverick,traj_003,240,0.3076923076923077,0.0,0,10,16,4,0
