method_id,trajectory_id,path,checkpoints,final_state_accuracy,eligible,update_event_support,event_macro_update_accuracy,retention_after_update,correct_change_precision,correct_change_recall,correct_change_f1,confusion_tn,confusion_fp,confusion_fn,confusion_tp_correct,confusion_tp_wrong_value
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,cashflow.recent_one_off_expense,20,0.7,True,2,0.0,0.3125,0.5,0.5,0.5,9,1,1,5,4
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,education.child_education_stage,20,0.5,True,1,1.0,1.0,0.2857142857142857,1.0,0.4444444444444445,6,10,0,4,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,education.self_education_status,20,0.95,True,1,1.0,0.8888888888888888,1.0,0.8888888888888888,0.9411764705882353,11,0,1,8,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,employment.employer,20,0.7,True,6,0.6666666666666666,0.6458333333333334,0.7368421052631579,0.7,0.717948717948718,0,0,1,14,5
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,employment.employment_status,20,0.55,True,6,0.6666666666666666,0.6666666666666666,0.5,0.6,0.5454545454545454,2,3,0,9,6
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,employment.income_stability,20,0.65,True,8,0.75,0.7166666666666667,0.65,0.65,0.65,0,0,0,13,7
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,employment.occupation,20,0.75,False,0,,,0.0,,,15,5,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,employment.salary_account,20,0.45,True,8,0.5,0.5,0.45,0.45,0.45,0,0,0,9,11
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,employment.salary_day,20,0.4,True,8,0.5,0.4583333333333333,0.4,0.4,0.4000000000000001,0,0,0,8,12
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,financial_products.checking_accounts,20,1.0,False,0,,,0.0,,,20,0,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,financial_products.loans,20,0.95,True,1,1.0,0.9285714285714286,1.0,0.9285714285714286,0.962962962962963,6,0,1,13,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,financial_products.pension_or_irp,20,0.75,False,0,,,0.0,,,15,5,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,financial_products.savings_accounts,20,1.0,False,0,,,0.0,,,20,0,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,goals.child_education_goal,20,0.85,True,4,0.75,0.9375,0.8333333333333334,0.9375,0.8823529411764706,2,2,0,15,1
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,goals.emergency_fund,20,0.7,False,0,,,0.0,,,14,6,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,goals.housing_deposit_goal,20,0.65,False,0,,,0.0,,,13,7,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,goals.retirement_goal,20,0.65,False,0,,,0.0,,,13,7,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,household.child_support_arrangement,20,0.7,False,0,,,0.0,,,14,6,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,household.children,20,0.7,True,7,0.42857142857142855,0.44047619047619047,0.7142857142857143,0.625,0.6666666666666666,4,0,2,10,4
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,household.dependents,20,0.9,True,6,0.6666666666666666,0.8,0.875,0.875,0.875,4,0,0,14,2
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,household.marital_status,20,0.85,True,1,1.0,0.8235294117647058,1.0,0.8235294117647058,0.9032258064516129,3,0,3,14,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,household.spouse_or_partner,20,0.7,True,1,1.0,0.8235294117647058,0.7368421052631579,0.8235294117647058,0.7777777777777778,0,3,1,14,2
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,housing.address,20,0.85,True,1,0.0,0.7857142857142857,1.0,0.7857142857142857,0.88,6,0,3,11,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,housing.contract_type,20,1.0,False,0,,,0.0,,,20,0,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,housing.maintenance_fee_payee,20,1.0,False,0,,,0.0,,,20,0,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,housing.mortgage_status,20,0.9,True,1,0.0,0.8571428571428571,1.0,0.8571428571428571,0.923076923076923,6,0,2,12,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,housing.primary_residence_property_id,20,0.9,True,1,0.0,0.8571428571428571,1.0,0.8571428571428571,0.923076923076923,6,0,2,12,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,housing.properties,20,0.85,True,1,0.0,0.7857142857142857,0.8461538461538461,0.7857142857142857,0.8148148148148148,6,0,1,11,2
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,housing.rent_amount,20,0.75,False,0,,,0.0,,,15,5,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,housing.rent_payee,20,0.75,False,0,,,0.0,,,15,5,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,housing.residence_status,20,1.0,False,0,,,0.0,,,20,0,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,profile.age,20,0.55,False,0,,,0.0,,,11,9,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,profile.locale,20,1.0,False,0,,,0.0,,,20,0,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,profile.region,20,0.45,False,0,,,0.0,,,9,11,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_002,cashflow.recent_one_off_expense,20,0.75,True,3,0.6666666666666666,0.8148148148148148,0.6666666666666666,0.6153846153846154,0.64,7,0,1,8,4
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_002,education.child_education_stage,20,0.7,False,0,,,0.0,,,14,6,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_002,education.self_education_status,20,0.75,True,1,1.0,0.7368421052631579,1.0,0.7368421052631579,0.8484848484848484,1,0,5,14,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_002,employment.employer,20,0.4,True,7,0.5714285714285714,0.5714285714285714,0.35294117647058826,0.3333333333333333,0.34285714285714286,2,0,1,6,11
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_002,employment.employment_status,20,0.55,True,4,0.25,0.25,0.6,0.25,0.35294117647058826,8,0,7,3,2
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_002,employment.income_stability,20,0.55,True,4,0.25,0.25,0.375,0.25,0.3,8,0,4,3,5
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_002,employment.occupation,20,0.8,False,0,,,0.0,,,16,4,0,0,0
