method_id,trajectory_id,final_state_accuracy,dynamic_path_final_state_accuracy,value_accuracy,status_accuracy,changed_state_accuracy,unchanged_state_accuracy,exact_state_match,change_detection_precision,change_detection_recall,change_detection_f1,correct_change_precision,correct_change_recall,correct_change_f1,evidence_hit_rate,evidence_citation_precision
fc_openrouter_llama_4_maverick,traj_001,0.6897058823529412,0.61,0.7264705882352941,0.8838235294117647,0.4029919467787115,0.9162997797626814,0.0,0.8415201465201465,0.6638194444444444,0.71217411768336,0.44161172161172163,0.4029919467787115,0.41740252970494174,0.295203081232493,0.3086612364243943
fc_openrouter_llama_4_maverick,traj_002,0.586764705882353,0.626,0.7294117647058823,0.7264705882352941,0.3921031746031746,0.6971469647555174,0.0,0.4969452221754853,0.7156448412698413,0.5757421169329023,0.25255395919869605,0.3921031746031746,0.30141305717210953,0.4139583333333333,0.4654085935993831
fc_openrouter_llama_4_maverick,traj_003,0.7235294117647059,0.694,0.75,0.9176470588235294,0.5452620186830713,0.8626863001817235,0.05,0.7920270007770007,0.7639868610921242,0.7722594203884304,0.5588640526140526,0.5452620186830713,0.5482055803152699,0.3659366218576745,0.4001959127193681
fc_openrouter_llama_4_maverick,traj_004,0.6970588235294117,0.6859999999999999,0.7514705882352941,0.8720588235294118,0.5205482930811878,0.8142603046594982,0.05,0.7578520533959089,0.7321098674717096,0.7291519986403777,0.5201948077999211,0.5205482930811878,0.5101825626110685,0.3470729380268854,0.236198712263621
fc_openrouter_llama_4_maverick,traj_005,0.7220588235294118,0.694,0.7911764705882353,0.8323529411764705,0.5769022220899156,0.8196483461498941,0.0,0.8158756516960851,0.807761669445106,0.805440732048421,0.5948458629863429,0.5769022220899156,0.580918431088285,0.5483641607790215,0.5285368944636186
fc_openrouter_llama_4_maverick,traj_006,0.6294117647058823,0.578,0.6882352941176471,0.8235294117647058,0.34507406808877394,0.7851738658763784,0.0,0.5856759906759906,0.5530146977205801,0.5544964581739871,0.3713863913863914,0.34507406808877394,0.3471000145980303,0.2928213453213453,0.45560064935064937
fc_openrouter_llama_4_maverick,traj_007,0.7514705882352941,0.6900000000000001,0.8044117647058824,0.8691176470588236,0.051902483481430846,0.9427044272152968,0.05,0.2527417027417027,0.2549213943950786,0.24167875829925692,0.056150793650793646,0.051902483481430846,0.054966363276612584,0.10202779676463887,0.5055555555555555
fc_openrouter_llama_4_maverick,traj_008,0.6426470588235295,0.666,0.7029411764705882,0.8220588235294117,0.4105464418622313,0.7585553542673108,0.0,0.5694777077497666,0.7539219260271892,0.6359455747870308,0.28397534654887596,0.4105464418622313,0.3286918186072161,0.32924963924963924,0.40697927803190964
fc_openrouter_llama_4_maverick,traj_009,0.5632352941176471,0.532,0.6661764705882354,0.7,0.22634469696969697,0.7403490456867715,0.0,0.6143323523741481,0.7423187229437229,0.6500341653882189,0.18597939985710882,0.22634469696969697,0.19383002069941807,0.3225974025974026,0.49888167388167387
fc_openrouter_llama_4_maverick,traj_010,0.6191176470588236,0.642,0.7191176470588235,0.7823529411764706,0.5140361599185128,0.6810023608541242,0.0,0.6355751336297002,0.7825337407690349,0.6920853043011993,0.4125295043793496,0.5140361599185128,0.45205673074561487,0.2893742042271454,0.2895307751525724
fc_openrouter_llama_4_maverick,traj_011,0.6588235294117647,0.6,0.7573529411764706,0.8264705882352941,0.20290104632209896,0.8878000744356777,0.05,0.6137103174603175,0.45503443924496556,0.5103980223336445,0.2529599567099567,0.20290104632209896,0.22196742282041004,0.17988838646733382,0.2988646384479718
fc_openrouter_llama_4_maverick,traj_012,0.6911764705882353,0.684,0.7073529411764706,0.8852941176470588,0.5240577405051089,0.791184888531476,0.0,0.667815263941425,0.9809210526315789,0.8091881858930091,0.3438251581150188,0.5240577405051089,0.42046832121583627,0.5324754193175246,0.5654615851984273
fc_openrouter_llama_4_maverick,traj_013,0.7279411764705882,0.736,0.8029411764705883,0.8308823529411764,0.43289127539127537,0.81791688786254,0.0,0.6437136876281613,0.7393205405705405,0.6736325610088728,0.34404866332497913,0.43289127539127537,0.37796799036379247,0.34455780330780333,0.38519716394716397
fc_openrouter_llama_4_maverick,traj_014,0.6970588235294117,0.726,0.7352941176470589,0.8823529411764706,0.46968275188863423,0.7951653953256665,0.0,0.6185244762547394,0.7661852771411595,0.6693652674369797,0.37715884261936894,0.46968275188863423,0.4106867570480102,0.49308197521432817,0.6186747491638795
fc_openrouter_llama_4_maverick,traj_015,0.6970588235294117,0.644,0.7602941176470588,0.8735294117647059,0.41342319960741014,0.8418955735141689,0.05,0.6262237762237762,0.7723053262526947,0.6929105224394422,0.3191989260739261,0.41342319960741014,0.35604209727601976,0.4422353961827646,0.43997342662407024
fc_openrouter_llama_4_maverick,traj_016,0.5411764705882353,0.47200000000000003,0.575,0.8441176470588235,0.27926262871115815,0.6790533870447002,0.0,0.6570257164650758,0.9259793066410713,0.7554962712155344,0.1838893429225237,0.27926262871115815,0.2198481588088095,0.29369767487414544,0.3329291541791542
fc_openrouter_llama_4_maverick,traj_017,0.6926470588235294,0.686,0.7308823529411764,0.8220588235294117,0.3199958374958375,0.7923513026758904,0.0,0.5926400075840613,0.8137896825396825,0.6781777255262529,0.2332623250222355,0.3199958374958375,0.26811960434506016,0.34345016095016095,0.3966100257766924
fc_openrouter_llama_4_maverick,traj_018,0.6970588235294117,0.6920000000000001,0.7926470588235294,0.8102941176470588,0.21357142857142855,0.820507177821972,0.0,0.6583402463549523,0.9087662337662338,0.7182845395345395,0.14823906485671193,0.21357142857142855,0.17445604395604397,0.38686147186147185,0.3888816738816739
fc_openrouter_llama_4_maverick,traj_019,0.7147058823529412,0.746,0.7794117647058824,0.8955882352941176,0.5877029914529914,0.7493688171302186,0.0,0.5868581491607807,0.9625,0.718562550035407,0.3413759778233462,0.5877029914529914,0.42825241116399027,0.5596474358974359,0.5532188644688645
fc_openrouter_llama_4_maverick,traj_020,0.6882352941176471,0.71,0.7411764705882353,0.8338235294117646,0.5383770505809979,0.7557056532287337,0.0,0.7215740015488468,0.936743705855548,0.811812993705411,0.41846903805688634,0.5383770505809979,0.4690478674765349,0.6390214171793119,0.5781858893743569
